date,Adj Close,Close,High,Low,Open,Volume
22-03-2023,39999.05078,39999.05078,40085.60156,39837.80078,40036,0
23-03-2023,39616.89844,39616.89844,40201.60156,39552.5,39836.14844,153200
24-03-2023,39395.35156,39395.35156,39767.89844,39294.89844,39555.25,166100
27-03-2023,39431.30078,39431.30078,39695.19922,39273.75,39484.69922,194200
28-03-2023,39567.89844,39567.89844,39645.19922,39326.10156,39545.05078,202300
29-03-2023,39910.14844,39910.14844,40055,39609.55078,39611.55078,259600
31-03-2023,40608.64844,40608.64844,40690.39844,40180.19922,40231.25,188000
03-04-2023,40813.05078,40813.05078,40857.60156,40535.89844,40695.80078,167500
05-04-2023,40999.14844,40999.14844,41071.14844,40802.64844,40972.30078,177400
06-04-2023,41041,41041,41274.69922,40820.55078,40940.69922,196500
10-04-2023,40834.64844,40834.64844,41139.85156,40727.25,41116.14844,153900
11-04-2023,41366.5,41366.5,41403.25,40990.19922,41232,219200
12-04-2023,41557.94922,41557.94922,41610.14844,41332,41426,143000
13-04-2023,42132.55078,42132.55078,42196.19922,41502.64844,41680.10156,232600
17-04-2023,42262.55078,42262.55078,42603.55078,41799,42603.55078,229100
18-04-2023,42265.19922,42265.19922,42500.69922,42114.35156,42406.94922,214200
19-04-2023,42154,42154,42339.89844,42022.14844,42280.10156,170000
20-04-2023,42269.5,42269.5,42378.14844,42108.85156,42218.5,180200
21-04-2023,42118,42118,42382.14844,41962.35156,42252.55078,144100
24-04-2023,42635.75,42635.75,42714.14844,42269.10156,42469.94922,201000
25-04-2023,42678.5,42678.5,42865.55078,42601.5,42731.60156,262400
26-04-2023,42829.89844,42829.89844,42875.60156,42432.25,42559.05078,178000
27-04-2023,43000.85156,43000.85156,43043.39844,42736.60156,42753.89844,181400
28-04-2023,43233.89844,43233.89844,43302.05078,42810.35156,43045.5,238700
02-05-2023,43352.10156,43352.10156,43483.85156,43269.39844,43395.05078,241600
03-05-2023,43312.69922,43312.69922,43354.94922,43078.14844,43154.85156,175900
04-05-2023,43685.44922,43685.44922,43739.80078,43213.94922,43236.10156,175400
05-05-2023,42661.19922,42661.19922,43588,42582.19922,43110.64844,251200
08-05-2023,43284,43284,43418.55078,42780.30078,42796.85156,223400
09-05-2023,43198.14844,43198.14844,43533.25,43125.85156,43438.55078,229000
10-05-2023,43331.05078,43331.05078,43383.64844,42822.14844,43275.25,249100
11-05-2023,43475.30078,43475.30078,43774.25,43367.25,43535.10156,190700
12-05-2023,43793.55078,43793.55078,43905.94922,43347.75,43447.14844,144900
15-05-2023,44072.10156,44072.10156,44151.69922,43666.60156,43821.05078,161300
16-05-2023,43903.69922,43903.69922,44144.14844,43815.69922,44144.14844,222500
17-05-2023,43698.69922,43698.69922,43992.75,43446.39844,43948.5,203600
18-05-2023,43752.30078,43752.30078,44079.19922,43673.69922,44006.89844,226500
19-05-2023,43969.39844,43969.39844,44020.89844,43531.89844,43930,192000
22-05-2023,43885.10156,43885.10156,44026.75,43684.89844,43935.30078,183800
23-05-2023,43954.44922,43954.44922,44095.25,43852.19922,43978.89844,142000
24-05-2023,43677.85156,43677.85156,44010.44922,43639.80078,43751.94922,148600
25-05-2023,43681.39844,43681.39844,43719.85156,43390.30078,43630.25,170200
26-05-2023,44018,44018,44067.60156,43588.80078,43765.35156,143200
29-05-2023,44311.89844,44311.89844,44483.35156,44193.94922,44276.80078,148600
30-05-2023,44436.35156,44436.35156,44498.60156,44207.5,44277.35156,157600
31-05-2023,44128.14844,44128.14844,44339.05078,43822.69922,44318,305700
01-06-2023,43790.19922,43790.19922,44179.94922,43706.14844,44172.05078,182900
02-06-2023,43937.85156,43937.85156,44088.89844,43812.55078,43997.30078,123900
05-06-2023,44101.64844,44101.64844,44266.14844,44074.19922,44103.25,124500
06-06-2023,44164.55078,44164.55078,44236.19922,44009.69922,44156.69922,123600
07-06-2023,44275.30078,44275.30078,44346.30078,44143.5,44318.69922,119200
08-06-2023,43995.25,43995.25,44459.25,43917.89844,44208.30078,160200
09-06-2023,43989,43989,44220.10156,43932.60156,44045.75,132300
12-06-2023,43944.19922,43944.19922,44124.94922,43874.05078,44035.19922,91400
